ID,name_cz,connected_ID,description_cz,possibilities,access
0,U opilého poníka,20,"Opilý poník je hlučná hospoda v centru města. Její stěny jsou z hrubě opracovaného kamene a střecha je pokrytá slámou. Uvnitř je hospoda hlučná a bujará, podél jedné stěny se táhne velký bar a na druhé straně doutná krb. Barmani jsou nevrlí a rychle obsluhují, zatímco hosté jsou neurvalá parta, která křičí a směje se za zvuků řinčení sklenic a vrzání prken. Jídelní lístek v restauraci The Drunken Pony se skládá převážně z vydatných dušených jídel a masa, které se zapíjejí velkými hrnky pěnivého piva. Krčma je oblíbeným místem cestovatelů, obchodníků i místních obyvatel, kteří sem chodí popíjet, vyprávět si příběhy a sdílet kamarádství na cestách.","shop:food",free
1,U kotvy a ráhna,4;5;2,"Ulice U kotvy a ráhna se vine podél přístavu, plná úlovků, které jsou přiváženy z moře.",,free
2,Slaná,1;5;6;8;3,Slaná je nejrušnější přístavní ulicí. Přes všechny handrkující se rybáře člověk skoro neslyší své vlastní myšlenky.,,free
3,Perlová,2;8;10;37,Perlová ulice je navzdory svému názvu známá pro hospody s velice levným alkoholem.,"shop:food",free
4,Provaznická,33;1,Provaznická je ulice plná domů s doškovými střechami a dlážděnou silnicí.,,free
5,Nasátá,1;2;11;36,"Nasátá je ulice plná domů obklopených břečťanem, jejichž zdi pokrývají zelené liány.",,free
6,Svobodnická,2;15,"Dlážděná ulice Svobodnické ulice se klikatí srdcem města, míjející vysoké kamenné budovy a třpytivé kouzelné lucerny.",,free
7,Spojovací,15;8;9;12,"Spojovací je ulice plná domů ze žuly, jejichž zdi jsou šedé a robustní.",,free
8,Padlá,2;3;9;12;7,"Padlá ulice je plná domů s kamennými zdmi a doškovými střechami, jednoduchými, ale pevnými.",,free
9,Šerošedá,10;8;7;12,Ve vzduchu visí tíživý pocit neklidu a nebezpečí.,,free
10,Poslední naděje,3;9;13;19,"Ulice Poslední naděje je lemovaná domy s malými dveřmi a okny, jejichž komíny sahají vysoko k nebi.",,free
11,Třída vykoupení,33;5;14;15,"Třída vykoupení je ulice s velkolepou architekturou a širokými chodníky, lemovaná luxusními obchody.",,free
12,Ostrá,13;17;9;8;7;35,"Ostrá ulice je temnou a úzkou pasáží, zarostlou liánami, jež lemují rozpadající se zdi.",,free
13,Ezoterická,10;19;12;17,Ezoterická ulice je rozmarná ulice plná pestrobarevně malovaných fasád a s  podivným zápachem magie ve vzduchu.,"shop:misc",free
14,Cedrová,11;20,"Cedrová ulice je plná domů obložených cedrovým dřevem, jejichž verandy a balkony poskytují úkryt před zapadajícím sluncem.",,free
15,Náměstí Páně,11;6;7;16;25;39,"Náměstí páně je velké otevřené náměstí obklopené prodejci nejrůznorodějších produktů, ručně vyráběného zboží a mnoha dalšího.",,free
16,Bílý trh,15;22;23;27,"Bílý trh je rušná oblast plná prodejců nejrůznějšího zboží, od ovoce a zeleniny až po exotické koření a cetky. Skutečná tvář trhu se však skrývá v jeho špinavém podhoubí, kde prodejci obchodují s kradeným zbožím, nelegálním zbožím a dalším ne zrovna čestným zbožím.","shop:drugs",free
17,Obludná,12;13;18;22,"Obludná ulice je lemovaná domy, jejichž zdi vykazují známky stárnutí a střechy se prohýbají.",,free
18,Zakopaná,17;19,"Zakopaná ulice je ponurá a zamlžená ulice, zahalená tmou a plná nevyzpytatelného šepotu.",,free
19,Smečky,34;18;13;10,"Smečky jsou ulicí plnou domů, jejichž klid je ideálním místem k odpočinku a relaxaci.",,free
20,Rajská,33;14;25;0,"Rajská je ulice lemovaná cihlovými domy, z jejichž komínů se line vůně dřevěného kouře.",,free
21,Bulvár spásy,20;25;26;27;16,Bulvár spásy je ulice plná úhledných domů s čistě zametenými prahy a vyleštěnými okny.,,free
22,Vznešená třída,34;17;16,"Vznešená třída je krásná alej s křišťálově lesklou dlažbou, obklopená čistě bílými budovami.",,free
23,Kořenová,29;16,Kořenová ulice je plná skromných domů s pevně zavřenými okny a dveřmi.,,free
24,Měsíční,30;25;33,"Měsíční je ulice plná domů, jejichž zdi jsou zjizvené léty opotřebení.",,free
25,Jílová,30;24;20;21;15,"Jílová ulice je plna štiplavého zápachu kůže a člověk si snadno domyslí, že se zde zpracovávají zvířecí kůže a vyrábí se z nich všemožné zboží.",,free
26,Bahno,21;30,"Bahno je úzká, nedlážděná ulice lemovaná chatrnými dřevěnými boudami a potulujícími se slepicemi.",,free
27,Jízda,32;21;28;16,"Jízda je ulice lemovaná honosnými domy z mramoru, jejichž sloupy a oblouky dodávají ulici na eleganci.",,free
28,Strmá,29;27;38,"Strmá ulice je lemovaná kovářskými dílnami, kde zvoní kladiva při výrobě zbraní a nástrojů.","shop:weapon",free
29,Nekonečná,34;23;28;31,"Nekonečná je ulice plná domů, jejichž dveře a okna pokrývá silná vrstva prachu z každodenního ruchu města.",,free
30,Vyčichlá,24;25;26,"Vyčichlá ulice je podivné místo, kde tančí podivné stíny a ozývá se strašidelný šepot.",,free
31,Hluchá,29,"Hluchá je ulice plná dřevěných domů, jejichž zdi jsou zvětralé a šedivé.",,free
32,Hrad,27,"Nad městem se tyčí hrad, jehož hradby a věže jsou ze zvětralého kamene. Hrad stojí již po staletí a jeho historie se vryla do jeho zdí a cimbuří. Čas se na hradu podepsal, jeho zdi a věže vykazují známky stáří a opotřebení, ale jeho pevná konstrukce ho udržela na nohou, což svědčí o síle a odhodlání těch, kteří ho postavili.",,free
33,Poslední Brána,4;11;20;24,"Poslední brána je hlavním vstupem do města a její masivní železné dveře se tyčí nad všemi, kdo jimi procházejí. Brána je střežena ve dne v noci a jeji železné mříže jsou symbolem síly a ochrany města.",,free
34,Temná Brána,19;22;29,"Temná brána, ač názvem nevypovídající, je krásným vstupem do města, jehož kamenné zdi zdobí složité řezby a pozlacené akcenty. Oblouk je symbolem bohatství a prosperity města a jeho krása přitahuje návštěvníky z blízka i daleka.",,free
35,Stanice hlídky,12,"Před stanicí stojí skupina strážců, kteří sledují město pod sebou a dávají pozor na jakékoli známky problémů. Stanice je vybavena zvonem, kterým lze v případě nouze vyhlásit poplach. Strážní stanice slouží jako první linie obrany města, její strážci jsou neustále ve střehu, chrání občany a udržují pořádek.",,free
36,Výrobna šňupce,5,"Výrobna šňupce je malá, nenápadná budova v tiché uličce. Okna jsou pokrytá špínou, dveře pevně zamčené, což vyvolává dojem, že je opuštěná. Uvnitř však probíhá rušný provoz, dělníci míchají a vaří různé drogy a lektvary. Navzdory nebezpečí fabrika dál vyrábí své zboží a zásobuje černý trh stálým přísunem nelegálních drog.","shop:drugs",item:14
37,Centrála Smradlavých hlav,3,"Doupě Smradlavých hlav se nachází v samém srdci přístavu a jeho vchod je skrytý za hromadou beden a sudů. Doupě je úlem plným aktivit, členové gangu přicházejí a odcházejí v každou denní i noční hodinu. Interiér je spoře osvětlený, s hrubými dřevěnými stěnami a špinavou podlahou. Členové gangu se shromažďují kolem velkého stolu uprostřed místnosti, kde probírají své nejnovější plány a plánují další operace.","shop:drugs",item:14
38,Centrála Rudého klanu,28,"Úkryt Rudého klanu se nachází v samém srdci města, ukrytý ve spleti temných uliček a stísněných ulic. Vchod hlídá skupina drsně vyhlížejících bouchačů, kteří očima zkoumají okolí a hledají jakýkoli náznak potíží. Uvnitř úkrytu panuje čilý ruch, členové gangu přicházejí a odcházejí, plánují další kroky a rozdělují si zisk z posledních zločinů. Stěny jsou pokryty graffiti, která označují území gangu a ukazují jeho nadvládu nad okolím. Úkryt je místem moci a strachu, centrem jednoho z nejnebezpečnějších gangů ve městě.",,item:15
39,Kostel Prvího očištění,15,"Kostel Prvního očištění stojí na Náměstí Páně a nelze jej přehlédnout. Jeho kdysi velkolepá fasáda je nyní zvětralá a zarostlá vinnou révou. Kostel je již mnoho let opuštěný, jeho dveře jsou zamčené a okna zabedněná. Nicméně za těmito dveřmi se usídlila temná a zlověstná síla. Náboženští fanatici si kostel přivlastnili a využívají jeho sály jako základnu, odkud uskutečňují své zvrácené plány. Stěny jsou vyzdobeny zlověstnými symboly a vzduch je prosycen vůní kadidla a zvukem zpěvu. Zapomenutý kostel se stal místem strachu, protože ho fanatici využívají k šíření svého poselství a získávání přívrženců.",,item:6
